                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.57981,                0.81584,                0.81858,                0.97776,                 0.6715,                0.57895,                0.62852,                 0.5156,                 0.6715,                0.57895,                0.63272,                0.53076,                 0.7782,                 1.3647,                  1.324,                 1.1559,                0.00505,                0.00505,                0.00505
                     52,                0.57621,                0.78483,                0.79461,                0.97282,                0.62878,                0.62201,                0.61929,                0.51653,                0.63056,                0.61722,                0.63091,                 0.5431,                 0.7647,                 1.3081,                 1.2787,                 1.1699,               0.004951,               0.004951,               0.004951
                     53,                0.56421,                 0.7923,                0.82262,                0.97259,                0.55803,                 0.6555,                0.60532,                0.51106,                0.56618,                0.66507,                0.61805,                0.52795,                0.77454,                 1.4075,                  1.354,                 1.1653,               0.004852,               0.004852,               0.004852
                     54,                0.56698,                0.79185,                0.80094,                0.97451,                0.66552,                0.59978,                0.61151,                0.51044,                0.67083,                0.60456,                0.61788,                0.52924,                0.76526,                 1.3704,                 1.2773,                 1.1645,               0.004753,               0.004753,               0.004753
                     55,                0.55373,                0.78878,                0.75616,                0.96747,                0.64052,                 0.5712,                0.60752,                0.51205,                0.67449,                0.57504,                0.61441,                0.53262,                 0.7303,                 1.3486,                  1.279,                 1.1345,               0.004654,               0.004654,               0.004654
                     56,                0.54545,                0.77197,                0.75294,                0.95757,                0.62088,                0.62201,                0.63226,                 0.5335,                0.63083,                0.63158,                0.64054,                0.55108,                0.72094,                 1.2594,                 1.2763,                 1.1115,               0.004555,               0.004555,               0.004555
                     57,                0.54248,                0.76617,                0.74607,                0.96692,                0.72921,                0.54067,                0.60862,                0.51202,                0.73615,                0.54545,                0.61152,                 0.5311,                0.75879,                 1.2982,                 1.3438,                 1.1581,               0.004456,               0.004456,               0.004456
                     58,                0.53254,                0.75139,                0.72981,                0.95524,                 0.5808,                0.66507,                0.63793,                0.54715,                 0.5808,                0.66507,                0.63909,                0.55762,                0.69107,                 1.3365,                 1.2273,                 1.0951,               0.004357,               0.004357,               0.004357
                     59,                0.53234,                0.72798,                0.73728,                0.95053,                0.66375,                0.61244,                0.61948,                0.53018,                0.66893,                0.61722,                0.62711,                0.53548,                0.76136,                 1.3572,                 1.3085,                 1.1656,               0.004258,               0.004258,               0.004258
                     60,                0.53271,                0.74775,                0.72854,                0.96075,                0.70054,                0.63636,                0.66471,                0.55194,                0.70054,                0.63636,                0.66531,                0.57989,                0.71033,                  1.289,                 1.2089,                 1.1022,               0.004159,               0.004159,               0.004159
                     61,                0.53286,                0.74488,                0.70673,                0.96007,                0.69975,                0.63636,                0.64873,                0.55091,                0.70573,                0.64115,                0.64585,                0.56926,                0.70825,                 1.3836,                 1.2344,                 1.1046,                0.00406,                0.00406,                0.00406
                     62,                0.52519,                0.73773,                0.70185,                0.94944,                0.78737,                0.55024,                0.65894,                 0.5666,                0.78737,                0.55024,                0.66033,                0.58072,                0.68153,                 1.2502,                 1.2615,                  1.091,               0.003961,               0.003961,               0.003961
                     63,                0.53535,                0.74144,                0.69969,                0.95956,                0.69272,                0.57416,                0.63833,                 0.5456,                0.69272,                0.57416,                0.64068,                0.56971,                0.71705,                 1.3018,                 1.2642,                 1.1118,               0.003862,               0.003862,               0.003862
                     64,                0.51742,                 0.7484,                0.67095,                0.95067,                0.77816,                0.60422,                0.65388,                0.54533,                0.77172,                0.59849,                0.65108,                0.56894,                0.74062,                 1.3697,                  1.193,                 1.1383,               0.003763,               0.003763,               0.003763
                     65,                0.52427,                0.74482,                0.68807,                0.94409,                0.76364,                 0.5311,                0.62245,                0.51713,                0.76364,                 0.5311,                0.61875,                0.54253,                0.75888,                 1.2874,                 1.3091,                 1.1425,               0.003664,               0.003664,               0.003664
                     66,                0.51501,                0.71862,                0.68157,                0.93937,                0.68623,                0.56508,                0.63202,                0.53685,                0.68623,                0.56508,                 0.6321,                0.55924,                0.74136,                 1.3222,                  1.339,                 1.1287,               0.003565,               0.003565,               0.003565
                     67,                0.50413,                0.70472,                0.65914,                0.93623,                0.62738,                0.58809,                0.61485,                0.52876,                0.63159,                0.59809,                0.62606,                0.54782,                0.72222,                 1.2726,                 1.3663,                 1.1122,               0.003466,               0.003466,               0.003466
                     68,                0.49474,                0.70161,                0.62268,                0.93489,                0.64625,                0.57895,                0.60608,                0.52272,                0.65159,                0.58373,                0.61386,                0.53825,                0.71189,                 1.2218,                 1.4279,                 1.1074,               0.003367,               0.003367,               0.003367
                     69,                0.51177,                0.71828,                0.65618,                0.94491,                0.71411,                 0.5933,                0.64743,                  0.554,                0.71987,                0.59809,                0.65035,                0.57248,                0.72268,                 1.4169,                 1.2696,                 1.1281,               0.003268,               0.003268,               0.003268
                     70,                0.51925,                0.73671,                0.66489,                0.94577,                0.65267,                 0.5844,                0.62257,                 0.5325,                0.66411,                0.59599,                0.62936,                 0.5511,                0.71426,                 1.5039,                 1.3574,                 1.1225,               0.003169,               0.003169,               0.003169
                     71,                0.49451,                0.69928,                0.63786,                 0.9374,                0.73708,                0.54997,                 0.6103,                0.52386,                0.70216,                0.58655,                0.61943,                0.54337,                0.72448,                 1.3281,                 1.3918,                 1.1149,                0.00307,                0.00307,                0.00307
                     72,                0.48889,                0.68278,                0.63946,                0.93003,                0.78301,                0.54067,                0.64855,                0.55713,                0.78301,                0.54067,                0.65525,                0.57808,                0.70648,                 1.3201,                 1.3552,                 1.1103,               0.002971,               0.002971,               0.002971
                     73,                0.49377,                0.66886,                0.60935,                 0.9375,                0.65344,                0.62679,                0.62603,                0.53945,                0.64696,                0.64007,                0.62774,                0.55652,                0.70159,                 1.3568,                 1.3266,                 1.1113,               0.002872,               0.002872,               0.002872
                     74,                0.48255,                0.65749,                0.59314,                0.93184,                 0.7344,                0.55566,                0.65576,                0.55794,                0.74108,                0.56148,                0.65806,                0.58442,                0.71003,                 1.2646,                 1.3498,                 1.1127,               0.002773,               0.002773,               0.002773
                     75,                0.48982,                0.71305,                0.60665,                0.93692,                0.77094,                 0.5311,                0.63576,                0.53929,                 0.6839,                0.58373,                 0.6371,                0.55785,                0.74674,                  1.513,                  1.424,                 1.1466,               0.002674,               0.002674,               0.002674
                     76,                 0.4798,                0.65804,                 0.6095,                0.92567,                0.74515,                 0.5456,                0.65331,                0.55747,                0.74515,                 0.5456,                0.65982,                0.57791,                0.73199,                 1.3365,                 1.4145,                 1.1533,               0.002575,               0.002575,               0.002575
                     77,                 0.4662,                0.65047,                0.57262,                0.93229,                0.65617,                0.58373,                0.64103,                0.53939,                0.65617,                0.58373,                0.64384,                0.56407,                0.74615,                 1.3704,                 1.4575,                 1.1551,               0.002476,               0.002476,               0.002476
                     78,                0.46201,                0.65646,                0.57729,                0.92198,                 0.6072,                0.62869,                0.60727,                0.51958,                0.61182,                0.63347,                0.61442,                0.54248,                0.75048,                 1.4562,                 1.4718,                 1.1685,               0.002377,               0.002377,               0.002377
                     79,                0.45827,                0.63756,                 0.5771,                0.92186,                0.69488,                 0.5933,                0.63355,                0.53937,                0.69488,                 0.5933,                0.64207,                0.56198,                0.72412,                 1.4123,                  1.432,                  1.147,               0.002278,               0.002278,               0.002278
                     80,                0.47614,                0.67121,                0.58884,                0.92601,                0.69568,                0.57972,                0.63763,                0.54802,                0.69568,                0.57972,                0.64321,                0.56131,                0.73504,                 1.3748,                 1.3748,                 1.1304,               0.002179,               0.002179,               0.002179
                     81,                0.46501,                0.65122,                  0.556,                0.91977,                 0.6382,                0.60767,                0.64615,                0.55925,                0.64825,                0.61724,                0.65711,                0.57784,                0.69926,                 1.4554,                 1.3867,                  1.119,                0.00208,                0.00208,                0.00208
                     82,                0.46686,                0.64625,                0.57684,                0.92881,                0.68781,                0.58373,                0.65506,                0.56265,                0.69764,                 0.5851,                0.66456,                0.58647,                0.70001,                 1.3714,                 1.3953,                 1.1084,               0.001981,               0.001981,               0.001981
                     83,                 0.4543,                0.62436,                0.55366,                0.92117,                0.68391,                0.57974,                0.64342,                0.55587,                0.67856,                0.58852,                0.65397,                0.57427,                0.68574,                 1.4322,                 1.4026,                 1.0982,               0.001882,               0.001882,               0.001882
                     84,                0.45935,                0.64994,                0.55017,                0.91924,                0.72252,                0.58373,                0.65626,                0.56509,                0.71772,                0.58373,                0.66104,                0.58648,                0.69188,                 1.3359,                 1.3247,                 1.0912,               0.001783,               0.001783,               0.001783
                     85,                0.43387,                0.61116,                0.52366,                0.90235,                0.74662,                0.57416,                0.65475,                0.56383,                0.74662,                0.57416,                0.65556,                0.58642,                0.70492,                  1.387,                 1.4065,                 1.1108,               0.001684,               0.001684,               0.001684
                     86,                0.43899,                0.60801,                0.51565,                0.91001,                0.80018,                0.53589,                0.64765,                0.56417,                0.80018,                0.53589,                0.64981,                0.58018,                0.69746,                 1.3671,                 1.3784,                  1.113,               0.001585,               0.001585,               0.001585
                     87,                0.43669,                0.62143,                0.52082,                0.91121,                0.75412,                0.52632,                0.62355,                0.53778,                0.72643,                0.55903,                0.63935,                0.55808,                0.71939,                 1.3872,                 1.3509,                 1.1241,               0.001486,               0.001486,               0.001486
                     88,                0.43912,                0.62425,                0.50428,                0.90551,                0.64701,                 0.6139,                 0.6341,                0.54855,                0.65709,                0.62347,                0.64407,                0.56755,                0.71596,                 1.4374,                  1.401,                 1.1172,               0.001387,               0.001387,               0.001387
                     89,                0.43805,                0.61741,                0.52347,                0.91211,                0.67559,                0.60766,                0.62587,                0.53766,                0.66574,                0.62679,                0.63413,                0.55725,                0.70789,                 1.4307,                 1.3992,                 1.1138,               0.001288,               0.001288,               0.001288
